分类代码,分类名称,基金代码,市场,资产类别,提及次数
bond,债券指数,110017,跨市场,债券,1
bond,债券指数,110020,跨市场,债券,1
bond,债券指数,150061,深市,债券,1
bond,债券指数,150114,深市,债券,1
bond,债券指数,150115,深市,债券,1
bond,债券指数,150120,深市,债券,1
broad,宽基指数,159901,深市,股票,1
broad,宽基指数,159902,深市,股票,1
broad,宽基指数,159920,深市,股票,1
broad,宽基指数,159928,深市,股票,1
broad,宽基指数,159929,深市,股票,1
broad,宽基指数,161017,深市,股票,1
broad,宽基指数,510050,沪市,股票,1
broad,宽基指数,510170,沪市,股票,1
broad,宽基指数,510180,沪市,股票,2
broad,宽基指数,510300,沪市,股票,1
broad,宽基指数,510500,沪市,股票,1
broad,宽基指数,518800,沪市,股票,1
commodity,商品指数,501018,沪市,商品,1
overseas,海外指数,163115,深市,股票,1
overseas,海外指数,165522,深市,股票,1
sector,行业指数,150023,深市,股票,1
sector,行业指数,150173,深市,股票,1
sector,行业指数,150194,深市,股票,1
sector,行业指数,150233,深市,股票,1
sector,行业指数,150235,深市,股票,2
sector,行业指数,150259,深市,股票,2
sector,行业指数,150275,深市,股票,1
sector,行业指数,150277,深市,股票,1
sector,行业指数,150279,深市,股票,1
sector,行业指数,155151,深市,股票,4
sector,行业指数,156157,深市,股票,1
sector,行业指数,159938,深市,股票,1
sector,行业指数,160222,深市,股票,1
sector,行业指数,164906,深市,股票,1
sector,行业指数,500015,沪市,股票,1
sector,行业指数,513050,沪市,股票,1
unknown,未分类,184229,深市,未知,1
